;text
88;['mungkin', 'sebagian', 'besar', 'orang', 'mengira', 'tidak', 'bisa', 'hidup', 'tanpa', 'pasangannyatapi', 'menurut', 'ku', 'hidup', 'tanpa', 'pasangan', 'adalah', 'hal', 'yang', 'pale', 'menyenangkan', 'viral']
89;['mhueheheheh']
90;['bjorka', 'tolong', 'jangan', 'mencuri']
91;['mah', 'akhirnya', 'dipulangkan', 'oleh', 'polisi', 'namun', 'ia', 'pulang', 'membawa', 'statu', 'tersangka', 'polisi', 'menyebut', 'mah', 'berperan', 'membantu', 'sosok', 'bjorka', 'asli', 'dengan', 'membuat', 'grup', 'telegram', 'bjorkan']
92;['terungkap', 'peran', 'pemuda', 'madiun', 'muluskan', 'hacker', 'bjorka', 'bocorkan', 'data', 'bikin', 'kanal', 'telegram', 'bjorkan']
93;['makan', 'ga', 'nyaman', 'emang', 'anj', 'gurun', 'kaya', 'kalian', 'yang', 'makan', 'uang', 'act', 'uang', 'donasi', 'buat', 'orang', 'kesusahan', 'tp', 'kalian', 'male', 'juga', 'biadab', 'emang', 'kelakuan', 'gerombolan', 'kalian']
94;['dulu', 'ke', 'pengen', 'banget', 'punya', 'ip', 'eh', 'alhamdulillah', 'kesampean', 'gara', 'gara', 'gabung', 'jdi', 'creator', 'capcut', 'walau', 'cuma', 'ip', 'tetap', 'bersyukur', 'tutor', 'aku', 'jelasin', 'di']
95;['wkwkwk', 'ngapain', 'ngamuk', 'eko', 'kuntet', 'ga', 'ada', 'hubungannya', 'sama', 'aku', 'dia', 'mau', 'jadi', 'mentri', 'apa', 'masuk', 'penjara', 'juga', 'masa', 'bodo', 'yang', 'jela', 'riziek', 'menjadi', 'pesakitan', 'dan', 'rendah', 'harga', 'dirinya', 'kemakan', 'mubahalahnya', 'sendiri', 'bentar', 'lagi', 'juga', 'ngandang', 'kasu', 'chat', 'mesum']
96;['ada', 'koni', 'dalam', 'bjorkan']
97;['pemuda', 'asal', 'madiun', 'muhammad', 'agung', 'hiyatullah', 'alia', 'mah', 'jadi', 'tersangka', 'terkait', 'hacker', 'bjorka', 'mah', 'disebut', 'ikut', 'mempost', 'ke', 'channel', 'telegram']
98;['bisa', 'baca']
99;['polisi', 'tetapkan', 'pemuda', 'di', 'madiun', 'jadi', 'tersangka', 'kasu', 'hacker', 'bjorka', 'ini', 'alasannya']
100;['ga', 'belajar', 'merayu', 'hacker', 'dari', 'googl', 'dan', 'microsoft', 'sih']
101;['seorang', 'yang', 'hau', 'ilmu', 'mengatakan', 'ibli', 'memang', 'licik', 'tapi', 'haru', 'lebih', 'bangsat', 'dari', 'dia', 'dan', 'tetap', 'percaya', 'dan', 'rendah', 'hati', 'di', 'mata', 'allah', 'i', 'love', 'katholik']
102;['ketika', 'polisi', 'salah', 'tangkap', 'bjorka', 'saat', 'ini', 'senyam', 'senyum', 'baca', 'berita', 'sambil', 'boker']
103;['itu', 'dugaan', 'yang', 'muncul', 'di', 'opini', 'publik']
104;['sebenarnya', 'dari', 'awal', 'sudah', 'sangat', 'jela', 'lihatlah', 'lagilagi', 'kisah', 'cinta', 'hanya', 'menepuk', 'angin']
105;['kalo', 'pengalihan', 'isu', 'ngapain', 'juga', 'ada', 'yg', 'salah', 'tangkanp', 'nglawaknya', 'kurang', 'berkela']
106;['recommend', 'gelang', 'perak', 'bali']
107;['info', 'loker', 'hari', 'ini']
108;['apa', 'kabar', 'buzzer', 'receh', 'ngasih', 'info', 'yg', 'bener', 'hehe', 'kalo', 'kagak', 'tau', 'jangan', 'asal', 'yah', 'hehe', 'heheheh', 'lol', 'salah', 'tangkep', 'hehe']
109;['smp', 'b', 'rb', 'r', 'ew', 'cew', 'di', 'pingg', 'r', 'j', 'l', 'n']
110;['lagi', 'ditangguhkan', 'akun', 'nya']
111;['aku', 'juga', 'minta']
112;['belum', 'ada', 'efek', 'muncul', 'nya', 'untuk', 'rakyat', 'indonesiakhusu', 'nya', 'kami', 'yg', 'ekonomi', 'rendahkok', 'sibuk', 'banget', 'ya', 'ngurusin', 'hacker', 'yg', 'gak', 'jela', 'tujuan', 'nyakami', 'butuh', 'harga', 'harga', 'sembakobbm', 'plndan', 'yg', 'laen', 'pada', 'turun', 'pak', 'karena', 'itu', 'lah', 'yg', 'kami', 'butuh', 'kan']
113;['sambil', 'mantau', 'bjorka', 'ikutan', 'jadi', 'creator', 'capcut', 'enaknya', 'ngedit', 'templat', 'di', 'gaji', 'sambil', 'rebahan', 'aja']
114;['ini', 'motif', 'tersangka', 'kasu', 'hacker', 'dan', 'identita', 'bjorka', 'versi', 'polisi', 'pidato', 'politik', 'ahi', 'hambalang', 'pilpr']
115;['sandiwara', 'teru', 'nih', 'pak', 'poli', 'asal', 'tangkap', 'bae', 'lg', 'no', 'ceke', 'die', 'keluarga', 'ga', 'punya', 'buat', 'mkn', 'juga', 'susah', 'boro', 'punya', 'laptop', 'hadewww']
116;['yang', 'pent', 'dapet', 'kucuran']
117;['lucuukkk']
118;['tahu', 'gak']
