;text
1700;['sudah', 'takeoff', 'ke', 'planett']
1701;['banyak', 'yang', 'fake', 'bingung', 'oii', 'mana', 'yg', 'real', 'nyaa']
1702;['bagaimana', 'rasanya', 'ibu', 'suri']
1703;['dari', 'segala', 'cara', 'unt', 'ngomporin', 'bjorka', 'buat', 'bjorka', 'penasaran', 'gw', 'yakin', 'justru', 'cara', 'ini', 'yg', 'pale', 'manjur']
1704;['cumn', 'yg', 'menarik', 'dgn', 'kemunculan', 'ini', 'akhirnya', 'netizen', 'akan', 'tahu', 'bahwa', 'mafia', 'dan', 'kejahatan', 'itu', 'memang', 'sengaja', 'di', 'tutupi', 'persengkokolan', 'nya', 'akan', 'terbongkar', 'so', 'rakyat', 'haru', 'beri', 'hukuman', 'ke', 'mereka', 'di']
1705;['alah', 'siah', 'boii', 'di', 'suspend']
1706;['gue', 'komen', 'ga', 'usah', 'pke', 'inggri', 'org', 'dia', 'org', 'sekitaran', 'jakarta', 'doang', 'bambang', 'gmn', 'kbrkatanya', 'ahli']
1707;['heleh', 'lo', 'mau', 'ganjar', 'yang', 'naik', 'presiden', 'dengan', 'mulu']
1708;['bapak', 'pun', 'dah', 'salah', 'malah', 'ngotot', 'akunnya', 'pak', 'bukan', 'silapkan', 'hadeeh']
1709;['channelnya', 'emang', 'di', 'atur', 'gak', 'bisa', 'ambil', 'screenshot', 'yang', 'sekarang', 'bisa', 'which', 'is', 'yang', 'sekarang', 'cuma', 'panso', 'pakai', 'nama', 'bjorka', 'doang']
1710;['twitter', 'do', 'your', 'magic', 'bismillah', 'semoga', 'allah', 'swt', 'titipkan', 'rezeki', 'di', 'hari', 'yang', 'berkah', 'ini', 'melalui', 'aamiin', 'allahumma', 'aamiin', 'bjorka']
1711;['ini', 'dia', 'ngomong', 'dimana']
1712;['wowo', 'bjorka']
1713;['pokoknya', 'pantengin', 'link', 'ini', 'aja', 'jadi', 'kalo', 'kenapa', 'lagi', 'tele', 'sama', 'twitter', 'nya', 'bakal', 'langsung', 'redirect', 'ke', 'grup', 'tele', 'yg', 'baru', 'dan', 'semua', 'info', 'ada', 'di', 'sana']
1714;['kan', 'udah', 'dikasih', 'anggaran', 'tryliunan', 'abgku']
1715;['kenapa', 'sy', 'sebut', 'ini', 'adalah', 'pengalihan', 'isu', 'oleh', 'toh', 'data', 'yg', 'di', 'publish', 'adalah', 'pancingan', 'aja', 'pemantik', 'agar', 'netizen', 'menggoreng', 'nya', 'sementara', 'substansinya', 'apakah', 'pemerintah', 'akan', 'meresponnya', 'justru', 'akunnya', 'di', 'bekukan', 'kan']
1716;['skecher', 'pop', 'up', 'women', 'sandal', 'rose', 'ysego', 'kasu', 'sambo', 'bjorka']
1717;['partai', 'ini', 'tu', 'mantan', 'ketumnya', 'pembunuh', 'hakim', 'ketum', 'yg', 'sekarang', 'pembunuh', 'aktivi']
1718;['meragukan', 'kmrn', 'akunnya', 'bjorkan', 'skrg', 'abi', 'diblokir', 'muncul', 'bjorqan', 'bjorkanesm', 'bjorxan', 'dll', 'semua', 'orang', 'bs', 'bikin', 'semua', 'orang', 'bs', 'ngaku', 'pale', 'cm', 'orang', 'yg', 'memanfaatkan', 'momen', 'buat', 'kepentingan', 'sendiri']
1719;['kasih', 'paham']
1720;['min', 'ini', 'apa', 'user', 'admin', 'pw']
1721;['harcker', 'org', 'indo', 'nyamar', 'jd', 'org', 'ase', 'ide', 'bagu', 'nampak', 'orangni', 'itu', 'itu', 'aj']
1722;['cream', 'stretch', 'mark', 'ibu', 'hamil', 'anak', 'muda', 'krn', 'berat', 'badan', 'naik', 'jd', 'muncul', 'stretch', 'mark', 'bahkan', 'cowok', 'jg', 'mengalami', 'bisa', 'beli', 'krim', 'ini', 'rp', 'kasu', 'sambo', 'fandom', 'hug', 'bjorka', 'senin', 'heker']
1723;['rekom']
1724;['senin', 'hobi', 'kasu', 'sambo', 'fandom', 'hug', 'munir', 'ltmpt', 'ive', 'st', 'perfect', 'allkil', 'telah', 'mengirimkan', 'ayo', 'ambil', 'di', 'sini', 'sebelum', 'habi']
1725;['sek', 'tak', 'ngguyu', 'disek']
1726;['bjorkan', 'hanya', 'org', 'kita', 'nyamar', 'jd', 'hacker', 'ase', 'pke', 'bh', 'inggri', 'sy', 'yakin', 'dia', 'politisi', 'srakah', 'yg', 'mau', 'buat', 'gaduh']
1727;['hahahailmu', 'belajarmu', 'kurang', 'jauh', 'jim', 'turun', 'kalau', 'ada', 'perintah', 'dari', 'presiden', 'ri', 'kalau', 'belum', 'ada', 'perintah', 'ya', 'ngopi', 'aja', 'dulu', 'brow']
1728;['jangan', 'menebar', 'duri', 'di', 'jalanku', 'bisa', 'jadi', 'mungkin', 'besok', 'kamu', 'yang', 'datang', 'tanpa', 'ala', 'kaki']
1729;['apalagi', 'kalau', 'dilengkapi', 'lokasi', 'dimana', 'anak', 'elu', 'sekolah', 'kek', 'data', 'pajak', 'juga', 'bisa', 'buat', 'profil', 'seberapa', 'kaya', 'elu', 'seberapa', 'banyak', 'harta', 'elu', 'yg', 'bsa', 'dianalisa', 'sindikat', 'n', 'penentuan', 'target', 'korban', 'berdasarkan', 'itu']
1730;['lepa', 'dari', 'baca', 'pola', 'atau', 'apapun', 'itu', 'yg', 'jela', 'munculnya', 'adalah', 'fenomena', 'yang', 'menjadikan', 'sebagian', 'golongan', 'tersudut', 'sebagian', 'lagi', 'bahagia', 'ya', 'ga', 'bo']
1731;['banyak', 'chat', 'spam', 'dari', 'judi', 'onlin', 'kalau', 'alamat', 'elu', 'bocor', 'plu', 'nama', 'nama', 'keluarga', 'elu', 'terutama', 'nama', 'anak', 'elu', 'siap', 'siap', 'jadi', 'target', 'sindikat', 'penculikan', 'yg', 'beli', 'data', 'elu', 'dari', 'deepweb', 'breach', 'mereka', 'tinggal', 'profil', 'berdasarkan', 'data', 'elu']
1732;['alhamdulillah', 'anta', 'build', 'design', 'telah', 'menyelesaikan', 'pembangunan', 'minimarket', 'untuk', 'pondok', 'raudhatut', 'tauhid', 'di', 'bogor', 'semoga', 'bermanfaat', 'untuk', 'kedepannya']
1733;['sudah', 'ada', 'yang', 'baru', 'kaka']
1734;['tak', 'gentar', 'lokasi', 'dan', 'keberadaannya', 'diburu', 'hacker', 'bjorka', 'menunggu', 'digerebek', 'pemerintah', 'indonesia']
1735;['data', 'emailmu', 'bisa', 'dicek', 'di', 'websitenya', 'ma', 'buka', 'aja', 'bio', 'twitternya', 'utk', 'nik', 'dll', 'lagi', 'diupgrad', 'ma', 'teguh', 'di', 'platformnya', 'kalau', 'lu', 'mau', 'tau', 'dampak', 'negatif', 'ya', 'nih', 'beberapa', 'dampaknga', 'buat', 'elu', 'gua', 'dah', 'rasain', 'akibat', 'data', 'tokp', 'bocor']
1736;['ditabrak', 'dan', 'disiksakucingkuc', 'itu', 'terkapar', 'tak', 'berdaya', 'bantu', 'kami', 'menyelamatkan', 'ratusan', 'kuce', 'terlantar', 'korban', 'kekejaman', 'manusia', 'bantu', 'donasi', 'dengan', 'klik']
1737;['uda', 'ada', 'yang', 'baru', 'bang']
1738;['ini', 'akun', 'twitter', 'barunya', 'pokoknya', 'kalo', 'ada', 'apa', 'lagi', 'sama', 'akun', 'twitter', 'or', 'telenya', 'tinggal', 'pantau', 'aja', 'link', 'ini', 'semuanya', 'bakal', 'di', 'updat', 'di', 'sana']
1739;['bjorka', 'akan', 'melakukan', 'sesuatu', 'yang', 'mendesak', 'kpolri', 'untuk', 'mendengarkan', 'tuntutan', 'dari', 'nya', 'yang', 'mewakili', 'rakyat', 'indonesia', 'tentu', 'saja', 'ini', 'akan', 'semakin', 'menarik']
1740;['bo', 'nya', 'pake', 'duit', 'pajak', 'jg']
1741;['ini', 'emg', 'udh', 'dipanggil', 'waktu', 'itu', 'dari', 'sd', 'ortu', 'masih', 'langganan', 'koran', 'dibaha', 'kasu', 'munir', 'tiap', 'hari', 'smpe', 'skrg', 'masih', 'gatau', 'sbetulnya', 'gmn']
1742;['readi', 'origin', 'sensor', 'jaket', 'pria', 'premium', 'kren', 'dan', 'murah', 'meriah', 'buruan', 'sebelum', 'terlambat', 'link']
1743;['brotlong', 'info', 'data', 'jeneng', 'manungso', 'seng', 'mlebu', 'neraka', 'sopo', 'wae', 'rak', 'nggo', 'suwii', 'ya']
1744;['rekomendasi', 'outer', 'tag', 'bjorka', 'senin', 'kasu', 'sambo', 'munir', 'artism', 'exhibit', 'heker']
1745;['heyi', 'heyi', 'heyi', 'ini', 'semakin', 'seru', 'bjorka', 'mengatakan', 'akan', 'mendesak', 'kpolri', 'untuk', 'mendengarkan', 'tuntutan', 'bjorka', 'yang', 'mewakili', 'rakyat', 'indonesia', 'kita', 'tunggu', 'hal', 'apa', 'yang', 'akan', 'mendesak', 'kpolri']
1746;['pak', 'luhut', 'apa', 'kabar']
1747;['katanya', 'bjorka', 'itu', 'orang', 'luar', 'kok', 'bh', 'inggri', 'nya', 'kayak', 'gue', 'kalo', 'ngepost', 'di', 'sosm', 'pake', 'bh', 'inggri']
1748;['nungguin', 'bjorkan', 'eksi', 'lagi', 'sama', 'kaya', 'nungguin', 'kasu', 'sambo', 'kelar', 'atau', 'nungguin', 'debut', 'di', 'amerika', 'gak', 'sih']
1749;['kalau', 'gak', 'gini', 'mungkin', 'gak', 'ada', 'tau', 'sisi', 'lemah', 'rumah', 'sendiri', 'ternyata', 'gemboknya', 'gampang', 'dibobol', 'justru', 'senang', 'atau', 'tidak', 'bjorka', 'sudah', 'menginfokan', 'kapasita', 'dan', 'kualita', 'rekrutan', 'pemerintah', 'dong', 'bukan', 'maksud', 'menjelekkan', 'ya', 'tapi', 'inilah', 'fakta', 'dan', 'pr', 'untuk', 'di', 'selesaikan']
1750;['bersama', 'masyarakat', 'indonesia', 'mewakili', 'semuanya', 'terimakasih']
1751;['jadi', 'ini', 'om', 'apa', 'pemerintah', 'nih', 'yg', 'suspend']
1752;['hi', 'aku', 'cuma', 'mau', 'nawarin', 'ini', 'bisa', 'dapet', 'uang', 'kak']
1753;['sofia', 'serra', 'eva', 'sandal', 'kasu', 'sambo', 'bjorka']
1754;['break', 'news', 'dalam', 'poll', 'yang', 'dilakukan', 'bjorka', 'di', 'grub', 'tele', 'miliknya', 'bahwa', 'sekarang', 'dia', 'akan', 'membuat', 'akun', 'baru', 'lagi', 'pmerintah', 'indonesia', 'seakan', 'bingung', 'apa', 'yg', 'hru', 'dilakukan', 'krna', 'hanya', 'bisa', 'ngesuspend', 'akun', 'milik', 'bjorka', 'dripda', 'memperbaiki', 'databas']
1755;['dari', 'sarapan', 'aja', 'kita', 'udah', 'beda', 'mana', 'mungkin', 'sama', 'rasa', 'awowowowok']
1756;['lagi', 'rame', 'banget', 'nih', 'kalau', 'jadi', 'dia', 'mau', 'juga', 'kali', 'nyebarin']
1757;['oya', 'kukira', 'cuma', 'org', 'garut', 'yg', 'tau', 'soalnya', 'temenku', 'org', 'tasik', 'gapada', 'tau']
1758;['aman', 'bang', 'ladi', 'nya', 'pinter', 'jaga', 'privasi']
1759;['iya', 'terlepa', 'dari', 'asli', 'atau', 'palsu', 'pent', 'atau', 'gk', 'pent', 'kebocoran', 'data', 'emang', 'merugikan', 'pihak', 'pmerintah', 'n', 'perusahaan', 'walapun', 'dari', 'ak', 'pribadi', 'belum', 'merasakan', 'dampak', 'negatif', 'dari', 'kbocoran', 'data', 'atau', 'mangkin', 'dataku', 'aman', 'dri', 'sekian', 'juta', 'bahkan', 'milyaran', 'data', 'yg', 'bocor']
1760;['ditangguhkan', 'tu', 'kenapa', 'ya', 'ngab']
1761;['partai', 'berkarya', 'bersuara', 'terkait', 'sentilan', 'bjorka', 'kaitkan', 'kasu', 'munir', 'dengan', 'muchdi', 'pr', 'baca', 'selengkapnya']
1762;['astaghgirullah', 'bg', 'jorka', 'meunyek', 'kali']
1763;['rekomendasi', 'kemeja', 'atasan', 'wanita', 'bjorka', 'senin', 'sarapan', 'munir', 'artism', 'exhibit']
1764;['jawaban', 'bjorka', 'ata', 'dugaan', 'pengalihan', 'isu', 'kasu', 'ferdi', 'sambo', 'kepadanya', 'aku', 'akan', 'membantu', 'agar', 'sampai', 'ke', 'listyo', 'bjorka', 'ferdi', 'sambo']
1765;['bkn', 'kak', 'di', 'bdg', 'banyak', 'tareng', 'btw']
1766;['bongkar', 'kasu', 'km']
1767;['kenapa', 'kasu', 'sambo']
1768;['dikata', 'an']
1769;['yg', 'katanya', 'heker', 'bjorkan', 'coba', 'buka', 'kasu', 'sambo', 'deh']
1770;['udah', 'balik', 'twitter', 'dia', 'akun', 'baru']
1771;['iya', 'emang', 'semua', 'orang', 'beba', 'mau', 'buat', 'akun', 'apapun', 'itu', 'orang', 'biasa', 'aja', 'mau', 'ngedox', 'juga', 'mikir', 'kali', 'apalagi', 'seorang', 'heker', 'ya', 'walaupun', 'cuma', 'sebata', 'itu', 'aja', 'tetep', 'aja', 'kalau', 'mnurtku', 'itu', 'terlalu', 'berlebihan', 'bagi', 'seorang', 'yg', 'harusnya', 'anonim']
1772;['pant', 'di', 'fllw', 'pak', 'desta', 'juga']
1773;['itu', 'juga', 'akun', 'fake', 'yg', 'lu', 'post', 'bro', 'malu', 'lah', 'akun', 'real', 'nya', 'bukan', 'wkwkw', 'slebeww']
1774;['ngpain', 'buk', 'mak', 'mak']
1775;['hai', 'open', 'joki', 'statistik', 'spss', 'stata', 'excel', 'manipulasi', 'data', 'skripsi', 'akuntansi', 'perpajakan', 'ekonometrika', 'rapihin', 'file', 'skripsi', 'bjorka', 'kasu', 'sambo', 'heker', 'pssi', 'copot', 'ngepep']
1776;['bjorka', 'hacker', 'polandia', 'rasa', 'indonesia', 'incar', 'presiden', 'jokowi', 'luhut', 'b', 'pandjaitan', 'erick', 'thohir', 'johnni', 'g', 'plate', 'puan', 'maharani', 'denni', 'siregar', 'bjorka', 'adalah', 'it', 'buzzer', 'mca', 'dan', 'saracen', 'dia', 'kadrun', 'imigran', 'yaman', 'indonesia', 'heker']
1777;['bagaimana', 'caranya', 'menjadi', 'white', 'hacker', 'tolong', 'ajarkan', 'saya']
1778;['ismail', 'fahmi', 'akun', 'bjorka', 'ada', 'unsur', 'perlawanan', 'pada', 'politik', 'ord', 'baru', 'kalahkan', 'cuitan', 'tentang', 'sambo', 'dan', 'ji']
1779;['data', 'apa', 'lagi', 'nih', 'yg', 'mau', 'di', 'bongkar', 'untuk', 'rakyat', 'indonesia', 'dan', 'dunia']
1780;['outfit', 'remaja', 'kekinian', 'senin']
1781;['berani', 'bgt']
1782;['ah', 'biasa', 'aja', 'lbh', 'kelihatan', 'si', 'bjorca', 'orang', 'lokal', 'gak', 'ada', 'apa', 'nya', 'hehe']
1783;['hah', 'apasih', 'ganyambung']
1784;['secara', 'gak', 'langsung', 'lah', 'bikin', 'ani', 'melejit', 'telah', 'kembali', 'welcom', 'back', 'mr']
1785;['macam', 'gak', 'ada', 'lagi', 'orang', 'hebat', 'indonesia', 'yg', 'bisa', 'memimpin', 'kominfo']
1786;['halahh', 'cocot', 'e', 'jhoni', 'ngono', 'og', 'terahno']
1787;['nitip', 'kak', 'mau', 'jg']
1788;['sebenernya', 'banyak', 'kasu', 'yang', 'pa', 'untuk', 'dialihkan', 'alih', 'pemerintah', 'memperbaiki', 'caranya', 'kerja', 'mereka', 'malah', 'nyewa', 'hacker', 'buat', 'bikin', 'rakyat', 'indonesia', 'geger', 'dan', 'lupa', 'sama', 'kasu', 'yg', 'lagi', 'gent', 'di', 'indonesia', 'gak', 'juga', 'sih', 'ngarang', 'aja', 'gua']
1789;['yup', 'but', 'gener', 'you', 'reap', 'what', 'to', 'sow', 'biasanya', 'kalau', 'orang', 'jualan', 'arang', 'ya', 'masak', 'mau', 'disimpan', 'dengan', 'nama', 'bakul', 'roti', 'lah', 'wong', 'customernya', 'mba', 'mei', 'apa', 'ya', 'sama', 'mba', 'mei', 'mau', 'dituli', 'donatur', 'panti', 'tapi', 'emang', 'sih', 'kadang', 'mungkin', 'saja', 'mba', 'mei', 'disimpan', 'dengan', 'nama', 'dark', 'angel']
1790;['suspend', 'dan', 'baru', 'nya']
1791;['join', 'chanel', 'bjorkan', 'yang', 'ga', 'bisa', 'diss', 'kan', 'coba', 'cari', 'chat', 'ini', 'yang', 'dikirim', 'kemarin', 'tru', 'klik', 'linknya', 'linknya', 'bakal', 'ngarahin', 'ke', 'chanel', 'yang', 'baru']
1792;['ni', 'yg', 'bnr']
1793;['lah', 'nyalahin', 'orang', 'dia', 'sendiri', 'yg', 'gak', 'becu']
1794;['jiirr', 'barusan', 'liat', 'tiktok', 'dan', 'kepon', 'beranda', 'tiba', 'ada', 'notif', 'di', 'twiter']
1795;['kalo', 'beneran', 'bisa', 'berati', 'terbaik', 'ga', 'cuma', 'bisa', 'dox', 'data', 'pribadi', 'dari', 'kebocoran', 'data', 'kominfo', 'dan', 'lembaga', 'plat', 'merah', 'yg', 'lain', 'soalnya', 'kalo', 'cuma', 'dox', 'berarti', 'si', 'bjork', 'cuma', 'bagian', 'dari', 'pegawai', 'pinjol']
1796;['bisa', 'aja', 'nanti', 'ketahuan', 'noda', 'hitam', 'rezim', 'mukidi']
1797;['wkwk', 'you', 'reap', 'what', 'you', 'sow', 'eh', 'kepo', 'boleh', 'gmn', 'hasilnya']
1798;['sangat', 'disayangkan', 'tapi', 'memang', 'true']
1799;['salah', 'orang', 'pak', 'gaya', 'bahasa', 'retorika', 'gak', 'bakalan', 'dianggap', 'sa', 'hacker', 'mereka', 'pale', 'banter', 'menjawab', 'stop', 'be', 'an', 'idiot', 'kalimat', 'yang', 'pale', 'retorik', 'buat', 'hacker']
1800;['lagi', 'scroll', 'trend', 'eh', 'ada', 'aja', 'yg', 'open', 'vc']
1801;['kena', 'sama']
1802;['auto', 'cek', 'gtc', 'sapa', 'tau', 'ada', 'yg', 'ngasih', 'nama', 'aneh']
1803;['ada', 'tuan', 'rumah', 'nitip', 'rmhnya', 'dijagain', 'secur', 'yg', 'jg', 'dibekali', 'ilmu', 'kanuragan', 'sakti', 'power', 'resourc', 'eh', 'rumahnya', 'kemalingan', 'krn', 'securitynya', 'berasumsi', 'akan', 'aman', 'sj', 'tetangga', 'nyalahin', 'simal', 'ini', 'secur', 'ga', 'becu', 'incap', 'apa', 'malingnya', 'kecanggihan']
1804;['bagaimana', 'jika', 'adalah', 'titisan', 'dari', 'fredi', 'samba', 'wkwk']
1805;['bjorka', 'jadikan', 'aku', 'muridmu']
1806;['yg', 'fake', 'lg', 'unfol', 'unfaedah']
1807;['akunnya', 'udah', 'hilang', 'soalnya', 'ini', 'urusan', 'kestabilan', 'politik', 'internasion']
1808;['kira', 'kejutan', 'apa', 'lagi', 'yang', 'akan', 'diberikan', 'ketar', 'ketir', 'dh', 'tuh', 'semua']
1809;['akun', 'baru', 'resmi', 'kang', 'bjorka']
1810;['duh', 'bawa', 'bawa', 'kadrun', 'ini', 'nih', 'bapak', 'bapak', 'tomlol', 'kalau', 'main', 'sosm']
1811;['kebetulan', 'kmren', 'twt', 'saya', 'ke', 'lock', 'jam', 'dan', 'datadiri', 'yang', 'bersangkutan', 'dihapu', 'sama', 'pihak', 'twitter', 'jdi', 'semoga', 'aja', 'aman', 'untuk', 'sekarang', 'hehe']
1812;['hacker', 'bjorka', 'teror', 'dan', 'bongkar', 'identita', 'pejabat', 'negara', 'ini', 'dari', 'presiden', 'hingga', 'menteri', 'tak', 'luput', 'dari', 'aksinya']
1813;['cek', 'akun', 'baru', 'bjorka']
1814;['defac', 'cuma', 'mengganti', 'visual', 'websit', 'itu', 'pun', 'memnfaatkan', 'cela', 'dari', 'kelemahan', 'sistem', 'websit', 'tersebut', 'sedangkan', 'pencurian', 'data', 'jela', 'dia', 'sudah', 'masuk', 'kedalam', 'sistem', 'nya', 'ini', 'klo', 'websit', 'sekela', 'punya', 'pemerintah', 'mah', 'gampang', 'ingat', 'websit', 'menkominfo', 'kemaren', 'kenadefac', 'mulu', 'sm', 'hacker']
1815;['saya', 'berharap', 'siapapun', 'anda', 'tetaplah', 'bersimpati', 'dengan', 'rakyat', 'jadilah', 'ksatria', 'pembela', 'rakyat', 'bongkarlah', 'semua', 'kebusukan', 'yang', 'tertutupi', 'bantu', 'kami', 'menjadikan', 'indonesia', 'lebih', 'baik', 'mendapat', 'pemimpin', 'dan', 'aparat', 'yang', 'jujur']
1816;['orang', 'wonogiri', 'jualan', 'bakso']
1817;['next', 'pertamina', 'yang', 'bakal', 'jadi', 'target', 'bjorka', 'kita', 'tunggu', 'supris', 'nya']
1818;['cuma', 'ada', 'yg', 'asli', 'yg', 'lain', 'fake', 'kalau', 'mau', 'follow', 'yg', 'fake', 'ya', 'monggo', 'saya', 'mah', 'engga']
1819;['akun', 'hacker', 'bjorka', 'menghilang', 'ada', 'apa', 'dan', 'siapa', 'yang', 'disenggol']
1820;['emangnya', 'bener', 'ani', 'gak', 'ngapa', 'in', 'selama', 'di', 'dki']
1821;['tiati', 'bg', 'katanya', 'data', 'yg', 'di', 'bocorkan', 'bjorka', 'gk', 'boleh', 'di', 'sebarluaskan', 'ntar', 'di', 'pidanakan']
1822;['saya', 'mah', 'pengen', 'lihat', 'ngehack', 'sambo']
1823;['wkwkwk', 'monyettt']
1824;['lah', 'malah', 'aku', 'sing', 'ditraktir', 'wkwk', 'kuy', 'laah', 'hahaha']
1825;['ada', 'berita', 'terbaru', 'tentang', 'pemerintahan', 'dari', 'bjorka', 'ga', 'sambil', 'tunggu', 'klaim', 'thr', 'dulu', 'saya', 'telah', 'mengirimkan', 'ayo', 'ambil', 'di', 'sini', 'sebelum', 'habi']
1826;['menkominfo', 'menyedihkan', 'udh', 'di', 'gaji', 'mahal', 'kerja', 'kek', 'monyet']
1827;['biasa', 'itu', 'yang', 'bego', 'yang', 'pale', 'berisik', 'biasanya']
1828;['sebagai', 'hacker', 'insyaallah', 'dia', 'akan', 'kembali', 'subhanallah']
1829;['bolehlah', 'minta', 'cari', 'pelaku', 'pembantaian', 'di', 'itupun', 'kalau', 'bjorka', 'berani', 'kejauhan', 'kalau', 'munir']
1830;['akunnya', 'ilang', 'cuyi']
1831;['mati', 'satu', 'tumbuh', 'seribu', 'bjorkan']
1832;['gw', 'jg', 'gini', 'wkwkwk']
1833;['gabusa', 'bang']
1834;['kenapa', 'telur', 'ayam', 'pa', 'masih', 'diperut', 'ayam', 'gk', 'pecah', 'padah', 'kebant', 'didalem', 'tolong', 'dicek']
1835;['kalem', 'ntar', 'lagi', 'juga', 'buka', 'lagi']
1836;['akun', 'tweetnya', 'dr', 'tadi', 'gw', 'jg', 'ga', 'bisa', 'buka']
1837;['minta', 'no', 'nya']
1838;['seandainya', 'juga', 'om', 'mau', 'ngulik', 'data', 'konsorsium', 'sambo', 'dan', 'buku', 'merah']
1839;['elu', 'mah', 'kgk', 'bsa', 'di', 'ajak', 'satir', 'kela', 'tinggi', 'ml', 'ahh']
1840;['tidak', 'gitu']
1841;['akunnya', 'ilang', 'anjir']
1842;['bener', 'kirain', 'cuma', 'di', 'twitter', 'ternyata', 'di', 'tele', 'jg']
1843;['saya', 'agak', 'sependapat', 'dg', 'anda', 'ttg', 'ini', 'tapi', 'saya', 'gk', 'mau', 'menjudg', 'siapa', 'itu']
1844;['yg', 'punya', 'datanya', 'spill', 'dong']
1845;['mana', 'nihh', 'buzzer', 'buzzer', 'yg', 'makan', 'dari', 'pajak', 'hahahahhaa', 'mulai', 'per', 'kebongkar']
1846;['gk', 'bisa', 'liat']
1847;['baru', 'tipi', 'tipi', 'di', 'iri', 'ama', 'ma']
1848;['mau', 'registrasi', 'kartu', 'masih', 'bisa', 'kan', 'ya', 'mbak']
1849;['ada', 'dong', 'ikut', 'mantau', 'seru']
1850;['coba', 'bongkar', 'kasu', 'lainnya']
1851;['gilss', 'sihh', 'ahahah']
1852;['lah', 'katanya', 'dah', 'ilang']
1853;['twitter', 'hacker', 'bjorka', 'mendadak', 'hilang', 'netizen', 'beri', 'reaksi', 'begini']
1854;['telenya', 'apa', 'ya']
1855;['mustahil', 'omong', 'kosong', 'klo', 'mau', 'bohongi', 'rakyat', 'itu', 'jangan', 'samakan', 'dengan', 'bohongi', 'pejabat', 'yang', 'otaknya', 'pada', 'kedodoran']
1856;['terken', 'makan', 'dari', 'duit', 'pajak', 'kalo', 'kata']
1857;['ibu', 'pake', 'smartpren', 'bukan', 'sih', 'nomernya']
1858;['gk', 'takut', 'di', 'datengin']
1859;['tenang', 'yg', 'dia', 'serang', 'yang', 'berkuasa', 'dan', 'tak', 'adil', 'kepada', 'rakyat']
1860;['harusnya', 'sih', 'ditangkap', 'bukan', 'cuma', 'disuspend']
1861;['aneh', 'emangg']
1862;['makasih', 'bang']
1863;['direport', 'mungkin', 'wkwk']
1864;['gada', 'bang']
1865;['ingat', 'bjorka', 'yang', 'pernah', 'membocorkan', 'data', 'ptinggi', 'negara', 'beginilah', 'nasibnya', 'sekarang', 'nomor', 'pale', 'mencengangkan']
1866;['secara', 'to', 'memang', 'gak', 'melanggar', 'palingan', 'direport', 'sama', 'pemerintahan', 'indonesia', 'karena', 'suspendnya', 'cepat', 'banget']
1867;['lebih', 'sedikit', 'yg', 'kau', 'tau', 'lebih', 'baik', 'mrkrep']
1868;['lah', 'akun', 'bjorka', 'tumbang', 'hahahah']
1869;['akun', 'twitternya', 'sdah', 'di', 'take', 'down', 'pdahal', 'seru', 'juga', 'baca', 'cuitan', 'nya', 'aksi', 'nya', 'suks', 'membuat', 'ketarketir', 'berbagai', 'pihak', 'anw', 'cara', 'menyebutkan', 'namanya', 'itu', 'yg', 'betul', 'itu', 'gimana', 'sih']
1870;['astaghfirullah', 'ini', 'laptop', 'kenapa', 'lagi', 'mau', 'ngerjain', 'tuga', 'malah', 'gini', 'mana', 'deadlinenya', 'besok', 'lagi', 'kak', 'help', 'me']
1871;['tolong', 'jangan', 'lagi', 'ada', 'yang', 'meladeni', 'pengacara', 'dukun', 'anggap', 'saja', 'dia', 'setr', 'yuk', 'kita', 'foku', 'ke', 'white', 'hacker', 'alia', 'hacker', 'baik', 'twitternya', 'sudah', 'hilang']
1872;['sudah', 'kebiasaan', 'penampakan', 'kedunguan', 'yang', 'selalu', 'di', 'tonjolkan']
1873;['video', 'liga', 'inggri', 'ada']
1874;['ndang', 'sat', 'set']
1875;['asik', 'nih']
1876;['mari', 'kita', 'liat', 'lagi', 'apa', 'yang', 'bakal', 'terjadi']
1877;['kalau', 'di', 'inget', 'inget', 'cara', 'kominfo', 'cegah', 'kocak', 'banget', 'wkwkwkwkw']
1878;['biar', 'tahu']
1879;['akun', 'di', 'twitter', 'dan', 'telegram', 'sudah', 'tidak', 'bisa', 'ditemui', 'lagi']
1880;['survey', 'abal', 'bayaran', 'yg', 'lain', 'jugakulitin', 'aja']
1881;['nangi']
1882;['akun', 'ditangguhkan']
1883;['kurang', 'bayar', 'tunjangan', 'kinerja', 'pn', 'tniau', 'yg', 'tak', 'sesuai', 'aturan', 'juga', 'terjadi', 'dan', 'presiden', 'ri', 'sudah', 'sy', 'lapori', 'sjak', 'hasilnya', 'mandul', 'lapor', 'kometarnya', 'ditunggu', 'netizen']
1884;['noh', 'hacker', 'kela', 'codot', 'pujaanmu', 'tumbang']
1885;['seketika', 'akun', 'hilang']
1886;['klo', 'soal', 'durasi', 'kaga', 'tau', 'coba', 'lu', 'tanya', 'sama', 'kadrun']
1887;['terima', 'kasih', 'tolong', 'bongkar', 'asal', 'usul', 'harta', 'pejabat', 'spt', 'yg', 'bulan', 'menjabat', 'harta', 'naik', 'belasan', 'kali', 'lipat', 'sekalian', 'data', 'pemilu', 'hasil', 'pilpr', 'yg', 'diduga', 'kuat', 'ada', 'manipulasi']
1888;['baru', 'tau', 'pp', 'animasi', 'dibilang', 'wibu']
