,Topic,Word,P
402,1,menjadi,0.003125745
403,1,tag,0.0030992005
404,1,jokowi,0.0030700194
405,1,bbm,0.0030436004
406,1,belum,0.0030333581
407,1,kang,0.0030147843
408,1,beberapa,0.0030073116
409,1,ditunggu,0.0030056692
410,1,kasu,0.0029954377
411,1,makin,0.0029948156
412,1,jasa,0.0029577648
413,1,jual,0.0029270055
414,1,kok,0.0029074752
415,1,disini,0.002900575
416,1,itu,0.0028693532
417,1,hilang,0.0028378803
418,1,boleh,0.0028342537
419,1,kalo,0.0028245558
420,1,mana,0.0028103855
421,1,hari,0.002802101
422,1,tau,0.0027832992
423,1,si,0.002759663
424,1,sosial,0.0027392388
425,1,pada,0.0027287244
426,1,aku,0.002714741
427,1,kasih,0.002711374
428,1,kak,0.0026552752
429,1,kalian,0.0026453976
430,1,identita,0.0026426844
431,1,x,0.0026287788
432,1,kartu,0.0026122038
433,1,satu,0.0025883764
434,1,lewat,0.002568929
435,1,polisi,0.0025450978
436,1,murah,0.0025095083
437,1,gk,0.0024863787
438,1,k,0.002478893
439,1,ani,0.0024765076
440,1,giliran,0.002463587
441,1,link,0.0024378025
442,1,langsung,0.0024261596
443,1,gw,0.0024132614
444,1,shope,0.0024048514
445,1,lah,0.002399957
446,1,takut,0.0023946804
447,1,ketemu,0.0023755322
448,1,data,0.0023566284
449,1,menteri,0.002338855
450,1,foto,0.0022843103
451,1,tahun,0.0022724185
452,1,pent,0.0022035902
453,1,dari,0.0021765893
454,1,kepada,0.0021719285
455,1,kadrun,0.0021511468
456,1,rumah,0.002138587
457,1,gitu,0.0021036137
458,1,dokumen,0.0020895011
459,1,puan,0.002073994
460,1,sini,0.0020463816
461,1,jam,0.0020450293
462,1,for,0.0020281747
463,1,pak,0.0020255418
464,1,tidak,0.0020205649
465,1,buka,0.0019988394
466,1,bgt,0.0019767995
467,1,kek,0.0019700893
468,1,kamu,0.001969825
469,1,selalu,0.0019638804
470,1,diduga,0.0019618012
471,1,cuma,0.0019527179
472,1,oh,0.0019511087
473,1,lupa,0.0019398899
474,1,g_plate,0.0019383727
475,1,kini,0.001935241
476,1,negara,0.0019292961
477,1,ternyata,0.0019134488
478,1,video,0.0019127426
479,1,netizen,0.001896437
480,1,tapi,0.001894412
481,1,dia,0.0018487622
482,1,youtub,0.0018251414
483,1,kaya,0.0018165837
484,1,baik,0.0018027214
485,1,milik,0.0017994455
486,1,udh,0.0017355828
487,1,mereka,0.0017335437
488,1,om,0.0017298724
489,1,tanggapan,0.0017075808
490,1,harusnya,0.0016981952
491,1,sebagai,0.0016922161
492,1,muhammad,0.0016899329
493,1,menurut,0.0016807709
494,1,setelah,0.0016725425
495,1,jawa,0.0016616288
496,1,klik,0.0016447428
497,1,kembali,0.0016390632
498,1,lebih,0.001621913
499,1,it,0.0015822779
500,1,cepat,0.0015444563
501,1,selengkapnya,0.0015040373
502,1,kenapa,0.0015006566
503,1,buzzer,0.0014885197
504,1,publik,0.0014854941
505,1,tengah,0.0014838941
506,1,cebong,0.0014716382
507,1,hi,0.001464424
508,1,yakin,0.0014606642
509,1,johnni,0.0014541397
510,1,lapor,0.0014493751
511,1,nomor,0.0014418395
512,1,pale,0.0014172443
513,1,kami,0.0014129404
514,1,menkominfo,0.0014123797
515,1,plate,0.0013990588
516,1,adalah,0.0013886072
517,1,dukung,0.0013823406
518,1,apa,0.0013744186
519,1,gimana,0.0013529003
520,1,lanjutkan,0.0013524989
521,1,rakyat,0.0013481801
522,1,kerja,0.0013387694
523,1,waktu,0.0013168969
524,1,panjang,0.0013161758
525,1,twitter,0.0012965053
526,1,akan,0.0012823979
527,1,klo,0.0012792796
528,1,apalagi,0.0012768311
529,1,kirim,0.0012763906
530,1,up,0.0012695456
531,1,dr,0.0012686172
532,1,pemerintahan,0.0012189721
533,1,teru,0.0012125339
534,1,tp,0.0011724667
535,1,nanti,0.0011717472
536,1,membantu,0.0011714251
537,1,g,0.0010697804
538,1,presiden_jokowi,0.0010645086
539,1,mulai,0.0010372442
540,1,ma,0.001023141
541,1,pake,0.0009848654
542,1,semoga,0.0009833544
543,1,terbaru,0.0009678738
544,1,tdk,0.00096092134
545,1,tele,0.0009229216
546,1,nama,0.00091466855
547,1,beli,0.00090475153
548,1,dong,0.0009036481
549,1,join,0.0008997209
550,1,muncul,0.00089763367
551,1,aneh,0.00086477504
552,1,updat,0.000850459
553,1,wkwk,0.00083239225
554,1,follow,0.00082602334
555,1,saja,0.00082347775
556,1,you,0.0008168078
557,1,berikut,0.0007920069
558,1,dll,0.00078425073
559,1,sedang,0.0007741822
560,1,allah,0.0007552063
561,1,akhirnya,0.0007512706
562,1,dgn,0.00073996594
563,1,kira,0.0007293055
564,1,dunia,0.0007250243
565,1,kemunculan,0.0007129307
566,1,gua,0.00069036236
567,1,to,0.00067086087
568,2,ya,0.018949986
569,2,nya,0.016044855
570,2,sama,0.015289945
571,2,dalam,0.014144834
572,2,buat,0.014010603
573,2,ini,0.012864847
574,2,di,0.012229483
575,2,udah,0.0120600015
576,2,aja,0.011858901
577,2,baru,0.011151828
578,2,banyak,0.010924629
579,2,presiden_jokowi,0.010558106
580,2,twitter,0.010531507
581,2,amat,0.010242278
582,2,yang,0.00997037
583,2,akun,0.009968716
584,2,ternyata,0.009203245
585,2,presiden,0.009001586
586,2,kamu,0.0088415295
587,2,bgt,0.008375651
588,2,dan,0.008341649
589,2,ma,0.008328099
590,2,kak,0.007978814
591,2,ada,0.0074101523
592,2,yg,0.00715328
593,2,bjorkan,0.0071504116
594,2,bisa,0.006964297
595,2,pake,0.0067261434
596,2,bro,0.006645113
597,2,aku,0.006547944
598,2,tapi,0.0064830263
599,2,pemerintah,0.006379238
600,2,indonesia,0.0063477666
601,2,jokowi,0.0060612103
602,2,untuk,0.0060600056
603,2,hacker_bjorka,0.0059200185
604,2,hacker,0.0058769397
